"","initials","year_pub","journal_id","volume","issue","first_author","include","reason"
"101","MB",2019,"EL",22,5,"Dornelas","No","No Tables"
"102","MB",2019,"EL",22,5,"Aguirre-Gutierrez","Yes",NA
"103","MB",2019,"EL",22,5,"Torres-Martinez","No","No Tables"
"104","MB",2019,"EL",22,5,"Bird","No","Paper Type"
"105","MB",2019,"EL",22,5,"Dugo-Cota","No","Paper Type"
"106","MB",2019,"EL",22,3,"Moore","Yes",NA
"107","MB",2019,"EL",22,3,"Kelly","No","No Tables"
"108","MB",2019,"EL",22,3,"Song","No","No Tables"
"109","MB",2019,"EL",22,3,"Klumpers","Yes",NA
"110","MB",2019,"EL",22,3,"Brodie","No","No Tables"
"111","MB",2019,"EL",22,3,"Blanco","No","No Tables"
"112","MB",2019,"EL",22,3,"Fernandez","Yes",NA
"113","MB",2019,"EL",22,3,"Smith","No","No Tables"
"114","MB",2019,"EL",22,3,"Pettersen","No","Paper Type"
"115","MB",2019,"EL",22,3,"Healy","No","Paper Type"
"116","MB",2019,"EL",22,3,"Cushman","Yes",NA
"117","MB",2019,"EL",22,3,"Fecchio","No","Paper Type"
"118","MB",2019,"EL",22,1,"Caughlin","No","No Tables"
"119","MB",2019,"EL",22,1,"Endriss","No","No Tables"
"120","MB",2019,"EL",22,1,"Chen","No","No Tables"
"121","MB",2019,"EL",22,1,"Bartlett","No","Paper Type"
"122","MB",2019,"EL",22,1,"Hargreaves","No","No Tables"
"123","MB",2019,"EL",22,1,"Trekels","No","No Tables"
"124","MB",2019,"EL",22,1,"Schermer","Yes",NA
"125","MB",2019,"EL",22,1,"Biasazin","No","No Tables"
"126","MB",2019,"EL",22,1,"Kannenberg","No","No Tables"
"127","MB",2019,"EL",22,1,"Maldonado","No","No Tables"
"128","MB",2019,"EL",22,1,"Halliday","Yes",NA
"129","MB",2019,"EL",22,1,"Li","No","No Tables"
"130","MB",2019,"EL",22,1,"Walker","No","No Tables"
"131","MB",2019,"EL",22,1,"Penone","Yes",NA
"132","MB",2019,"EL",22,1,"DeMalach","Yes",NA
"133","MB",2019,"EL",22,1,"Hemingson","Yes",NA
"134","MB",2018,"EL",21,11,"Hawn","No","No Tables"
"135","MB",2018,"EL",21,11,"Kreyling","No","Paper Type"
"136","MB",2018,"EL",21,11,"Carrillo","No","No Tables"
"137","MB",2018,"EL",21,11,"Toussaint","Yes",NA
"138","MB",2018,"EL",21,11,"Ohlmann","No","No Tables"
"139","MB",2018,"EL",21,11,"Satterfield","No","No Tables"
"140","MB",2018,"EL",21,11,"Crotty","No","No Tables"
"141","MB",2018,"EL",21,11,"Maldonado_Chaparro","No","No Tables"
"142","MB",2018,"EL",21,11,"Fijen","Yes",NA
"143","MB",2018,"EL",21,9,"Pluntz","No","No Tables"
"144","MB",2018,"EL",21,9,"Adler","No","No Tables"
"145","MB",2018,"EL",21,9,"Kadoya","No","No Tables"
"146","MB",2018,"EL",21,9,"Kristensen","No","No Tables"
"147","MB",2018,"EL",21,9,"Decker","Yes",NA
"148","MB",2018,"EL",21,9,"Hodapp","Yes",NA
"149","MB",2018,"EL",21,9,"Nadal","No","No Tables"
"150","MB",2018,"EL",21,9,"Guo","No","Paper Type"
"151","MB",2018,"EL",21,9,"Muhl","No","No Tables"
"152","MB",2018,"EL",21,9,"Davis","Yes",NA
"153","MB",2018,"EL",21,9,"Simpson","Yes",NA
"154","MB",2018,"EL",21,7,"Cusumano","No","No Tables"
"155","MB",2018,"EL",21,7,"Anderegg","No","No Tables"
"156","MB",2018,"EL",21,7,"Chadwick","No","No Tables"
"157","MB",2018,"EL",21,7,"Jucker","Yes",NA
"158","MB",2018,"EL",21,7,"Froy","Yes",NA
"159","MB",2018,"EL",21,7,"Koffel","No","No Tables"
"160","MB",2018,"EL",21,7,"Laiolo","No","No Tables"
"161","MB",2018,"EL",21,7,"Hodge","Yes",NA
"162","MB",2018,"EL",21,7,"Courbin","Yes",NA
"163","MB",2018,"EL",21,7,"Horton","No","No Tables"
"164","MB",2018,"EL",21,7,"Kato","No","No Tables"
"165","MB",2018,"EL",21,7,"Ruger","No","No Tables"
"166","MB",2018,"EL",21,7,"Ruegg","No","No Tables"
"167","MB",2018,"EL",21,7,"Okuzaki","Yes",NA
"168","MB",2018,"EL",21,5,"Defossez","No","No Tables"
"169","MB",2018,"EL",21,5,"Thomas","No","No Tables"
"170","MB",2018,"EL",21,5,"Booksmythe","Yes",NA
"171","MB",2018,"EL",21,5,"Medina","No","No Tables"
"172","MB",2018,"EL",21,5,"Smith-Ramesh","No","No Tables"
"173","MB",2018,"EL",21,5,"Bestion","No","Paper Type"
"174","MB",2018,"EL",21,5,"Sheppard","Yes",NA
"175","MB",2018,"EL",21,5,"Dijkstra","No","No Tables"
"176","MB",2018,"EL",21,5,"Correia","No","No Tables"
"177","MB",2018,"EL",21,5,"Civitello","No","No Tables"
"178","MB",2018,"EL",21,5,"Jonsson","Yes",NA
"179","MB",2018,"EL",21,5,"Liu","Yes",NA
"180","MB",2018,"EL",21,5,"Shefferson","No","No Tables"
"181","MB",2018,"EL",21,5,"Anderegg","No","No Tables"
"182","MB",2018,"EL",21,3,"Butler","No","Paper Type"
"183","MB",2018,"EL",21,3,"Nowakowski","Yes",NA
"184","MB",2018,"EL",21,3,"McLaren","No","No Tables"
"185","MB",2018,"EL",21,3,"Di Marco","No","No Tables"
"186","MB",2018,"EL",21,3,"Watcharamongkol","No","No Tables"
"187","MB",2018,"EL",21,3,"Janicke","No","Paper Type"
"188","MB",2018,"EL",21,3,"Kirchheimer","No","No Tables"
"189","MB",2018,"EL",21,3,"Rojas","Yes",NA
"190","MB",2018,"EL",21,3,"Laughlin","No","No Tables"
"191","MB",2018,"EL",21,1,"Hillebrand","No","No Tables"
"192","MB",2018,"EL",21,1,"Plas","No","No Tables"
"193","MB",2018,"EL",21,1,"Caselle","Yes",NA
"194","MB",2018,"EL",21,1,"Malerba","No","No Tables"
"195","MB",2018,"EL",21,1,"Abrahms","No","No Tables"
"196","MB",2018,"EL",21,1,"Antiqueira","No","No Tables"
"197","MB",2018,"EL",21,1,"Volf","Yes",NA
"198","MB",2018,"EL",21,1,"Massoud","No","No Tables"
"199","MB",2018,"EL",21,1,"Carlo","No","No Tables"
"200","MB",2018,"EL",21,1,"Hesse","No","No Tables"
"201","MB",2018,"EL",21,1,"Moorsel","No","No Tables"
"202","MB",2018,"EL",21,6,"Herbert-Dufresne","No","No Tables"
"203","MB",2018,"EL",21,6,"Chrisholm","No","No Tables"
"204","MB",2018,"EL",21,6,"Jeffers","Yes",NA
"205","MB",2018,"EL",21,6,"D'Andrea","No","No Tables"
"206","MB",2018,"EL",21,6,"Barneche","No","Paper Type"
"207","MB",2018,"EL",21,6,"La Sorte","No","No Tables"
"208","MB",2018,"EL",21,6,"Boonekamp","Yes",NA
"209","MB",2018,"EL",21,6,"Lanuza","Yes",NA
"210","MB",2018,"EL",21,6,"Cirtwill","No","No Tables"
"211","MB",2018,"EL",21,6,"Mladkova","Yes",NA
"212","MB",2018,"EL",21,6,"Tylianakis","Yes",NA
"213","PD",2020,"JOE",108,2,"Liu","Yes","na"
"214","PD",2020,"JOE",108,2,"Umaña","Yes","na"
"215","PD",2020,"JOE",108,2,"Neumann","Yes",""
"216","PD",2020,"JOE",108,2,"Staggmeier","No","No Tables"
"217","PD",2020,"JOE",108,2,"Martin-Guay","No","No Tables"
"218","PD",2020,"JOE",108,2,"Xi","No","No Tables"
"219","PD",2020,"JOE",108,2,"Hall","No","No Tables"
"220","PD",2020,"JOE",108,2,"Sollins","No","No Tables"
