initials,year_pub,journal_id,volume,issue,first_author,include,reason,,,
MB,2019,EL,22,3,Blanco,No,no_tables,,,
MB,2019,EL,22,3,Fernandez,Yes,NA,,,
MB,2019,EL,22,3,Smith,No,no_tables,,,
MB,2019,EL,22,3,Pettersen,No,paper_type,,,
MB,2019,EL,22,3,Healy,No,paper_type,,,
MB,2019,EL,22,3,Cushman,Yes,NA,,,
MB,2019,EL,22,3,Fecchio,No,paper_type,,,
MB,2019,EL,22,1,Caughlin,No,no_tables,,,
MB,2019,EL,22,1,Endriss,No,no_tables,,,
MB,2019,EL,22,1,Chen,No,no_tables,,,
MB,2019,EL,22,1,Bartlett,No,paper_type,,,
MB,2019,EL,22,1,Hargreaves,No,no_tables,,,
MB,2019,EL,22,1,Trekels,No,no_tables,,,
MB,2019,EL,22,1,Schermer,Yes,NA,,,
MB,2019,EL,22,1,Biasazin,No,no_tables,,,
MB,2019,EL,22,1,Kannenberg,No,no_tables,,,
MB,2019,EL,22,1,Maldonado,No,no_tables,,,
MB,2019,EL,22,1,Halliday,Yes,NA,,,
MB,2019,EL,22,1,Li,No,no_tables,,,
MB,2019,EL,22,1,Walker,No,no_tables,,,
MB,2019,EL,22,1,Penone,Yes,NA,,,
MB,2019,EL,22,1,DeMalach,Yes,NA,,,
MB,2019,EL,22,1,Hemingson,Yes,NA,,,
MB,2018,EL,21,11,Hawn,No,no_tables,,,
MB,2018,EL,21,11,Kreyling,No,paper_type,,,
MB,2018,EL,21,11,Carrillo,No,no_tables,,,
MB,2018,EL,21,11,Toussaint,Yes,NA,,,
MB,2018,EL,21,11,Ohlmann,No,no_tables,,,
MB,2018,EL,21,11,Satterfield,No,no_tables,,,
MB,2018,EL,21,11,Crotty,No,no_tables,,,
MB,2018,EL,21,11,Maldonado_Chaparro,No,no_tables,,,
MB,2018,EL,21,11,Fijen,Yes,NA,,,
MB,2018,EL,21,9,Pluntz,No,no_tables,,,
MB,2018,EL,21,9,Adler,No,no_tables,,,
MB,2018,EL,21,9,Kadoya,No,no_tables,,,
MB,2018,EL,21,9,Kristensen,No,no_tables,,,
MB,2018,EL,21,9,Decker,Yes,NA,,,
MB,2018,EL,21,9,Hodapp,Yes,NA,,,
MB,2018,EL,21,9,Nadal,No,no_tables,,,
MB,2018,EL,21,9,Guo,No,paper_type,,,
MB,2018,EL,21,9,Muhl,No,no_tables,,,
MB,2018,EL,21,9,Davis,Yes,NA,,,
MB,2018,EL,21,9,Simpson,Yes,NA,,,
MB,2018,EL,21,7,Cusumano,No,no_tables,,,
MB,2018,EL,21,7,Anderegg,No,no_tables,,,
MB,2018,EL,21,7,Chadwick,No,no_tables,,,
MB,2018,EL,21,7,Jucker,Yes,NA,,,
MB,2018,EL,21,7,Froy,Yes,NA,,,
MB,2018,EL,21,7,Koffel,No,no_tables,,,
MB,2018,EL,21,7,Laiolo,No,no_tables,,,
MB,2018,EL,21,7,Hodge,Yes,NA,,,
MB,2018,EL,21,7,Courbin,Yes,NA,,,
MB,2018,EL,21,7,Horton,No,no_tables,,,
MB,2018,EL,21,7,Kato,No,no_tables,,,
MB,2018,EL,21,7,Ruger,No,no_tables,,,
MB,2018,EL,21,7,Ruegg,No,no_tables,,,
MB,2018,EL,21,7,Okuzaki,Yes,NA,,,
MB,2018,EL,21,5,Defossez,No,no_tables,,,
MB,2018,EL,21,5,Thomas,No,no_tables,,,
MB,2018,EL,21,5,Booksmythe,Yes,NA,,,
MB,2018,EL,21,5,Medina,No,no_tables,,,
MB,2018,EL,21,5,Smith-Ramesh,No,no_tables,,,
MB,2018,EL,21,5,Bestion,No,paper_type,,,
MB,2018,EL,21,5,Sheppard,Yes,NA,,,
MB,2018,EL,21,5,Dijkstra,No,no_tables,,,
MB,2018,EL,21,5,Correia,No,no_tables,,,
MB,2018,EL,21,5,Civitello,No,no_tables,,,
MB,2018,EL,21,5,Jonsson,Yes,NA,,,
MB,2018,EL,21,5,Liu,Yes,NA,,,
MB,2018,EL,21,5,Shefferson,No,no_tables,,,
